Product Name, Product ID, Review Text, Review Rating, Reviewer Verified
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Best in class, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good quality, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Weast, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Super, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice temprature maintain approx 24 hr, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very bad quality, 2, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Build quality is excellent, but it will make your water cold only for 12hr when it's new and then after 1 months it make the water cold or hot only for 2hrs. Very disappointed with this. Waste of money. Now it work as any other water bottle., 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Poor 😡😡😡😡🤬🤬🤬, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Flasks is not heat, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Wow super, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good product,Keeps water hot for a long time, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice 👍👍, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Worst product heat not with stand after use of 1month waste of money, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Worst product I ever seen it can't work properly leak proof and  doesn't work properly waste of money, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Osm, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, It's a best 👌 super all can use .., 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Build quality very poor I used 10 days only, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice bottle, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good 👍, 3, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, I bought it 3 months back. Initially there was bad plastic smell inside. I thought it smeld bad because it was a new flask and if I use two or three times the smell would go off. Even now the flask smells bad plastic and whatever hot water I keep in it also use the same bad plastic smell. so we all avoided using it and it is just kept on shelf as no one likes it., 2, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Packaging is not appropriate everything is visible what I am order what pricing what I'll pay full money then it is a this kind of packaging why return my packaging amount refund please that time I'm not tested any hot and cold water if I am testing after using I got a more details review, 2, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Best product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, When hot water in the flask gives some smell in water.cannot able to drink., 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good thanku flipkart, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Thanks flipkart, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good 👍, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Thank you flipkart, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, waste of money don't buy poor quality, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice 👍, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Thank for flipkart, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Super, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, After 6 months of usage its not working. Initially it was good, later damaged, 2, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product but cleaning inside is hard, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Super, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Water is leaking from bottle, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Excellent quality product 👌, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very Good Products, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Awesome product 👏, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Oosm, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Ok, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Tq so much I love the product very much, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Best to use!, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice great, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Osm, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good Flipkart thanks 🙏👍, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice 👍, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, good, 3, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice product, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Awesome product quality 👍 Go for this........., 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice 👍, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Thank you flipkart, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good and original product 😃, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Velue for money 💸, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Value for money, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, No1 Products 👍, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Really a useful product during the winter season, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Even 5 hours not remaining hot water .don't waste money, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Really I am very disappointed this products. Back to back 2 products after 2 month use water worm not properly just 1 hour. Very bad things, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Perfect, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good 😊. awesome, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very bad product. I am not sure whether the product I got was defective or not. The cap lid was not at all closing properly and unable to close the bottle. As a result leakages and not usable, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, I like this product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good quality, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Wonderful 💯💯 love it 🤩🤩, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very nice, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Best' product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good quality and good water 💦 bottle, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, This product is leaking....worst product ever, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, The outer body gets heated and that is the reason why water cools down after 5-6 hrs., 3, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product 👍, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Leak problem, 3, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, No good, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, So beautiful so elegant just looking like a wow 😁😁😁, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Best quality, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product Milton, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Milton never disappoints their customers😊, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good quality product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 4, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good produ, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Awesome 👌, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, I kept overnight and found just lukewarm And it's leaking, 3, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Excellent Product.. Thanks to Flipkart, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very very bad product 😔Local products, 1, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice 👍 product worth it, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Product is good. Insulation is also good but build quality is not up to the mark. Bottle cap easily gets dent. Its like a thin sheet of metal. Should improve build quality., 3, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Very nice product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Milton brand is too good.I'm happy and certified., 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Okk, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Good product, 5, Yes
MILTON Flip lid 1000 Thermosteel Water Bottle, itm50665b7f93ce2, Nice product but 750ml water 🌊💦, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Super product at good price, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, It's not long lasting. I read the review and buy this. Milton is the name but food was not long lasting hot. Value for money quality ok. Satisfied with this price., 4, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Wow thermoware, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Good, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Good, 4, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Very good product in this range, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Nice product, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Nice, 4, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Not recommended. Price hi quality low, 3, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Very very good product. I am so happy thanks flipcart, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Small size, 3, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Looks smaller one, 3, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Design is ok .but very light weight, 3, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Low quality product, 1, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Size are too small, 3, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Amazing product with great offer..tks, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Satisfied, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, It is a very good product ❤️ worth it 👍, 5, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Small size😔, 3, Yes
MILTON ERNESTO JR. Thermoware Casserole Set  (420 ml, itm12501892b100d, Clasic, 4, Yes
